"NUM_CLIENT"	"SOLDE"
2937	-1474,895
2938	0
2939	0
2940	0
2941	0
2942	0
2943	0
2944	-650,728
2945	-124,9
2946	-1123
2947	0
2948	-0,36
2949	-43
2950	0
2951	-72,5
2952	-1123,84
2953	0
2954	-670,242
2955	0
2956	-616,244
2957	0
2958	0
2959	0
2960	-389,04
2961	-4003,844
2962	-2455,408
2963	0
2964	0
2965	-5761,109
2966	0
2967	0
2968	0
2969	-2407,329
2970	0
2971	-8062,818
2972	0
2973	0
2974	0
2975	-5698,467
2976	0
2977	0
2978	0
2979	0
2980	-740,128
2981	0
2982	0
2983	0
2984	0
2985	0
2986	0
2987	0
2988	0
2989	0
2990	0
2991	-996,776
2992	0
2993	-168
2994	0
2995	0
2996	0
2997	0
2998	0
2999	0
3000	0
3001	0
3002	0
3003	-52,152
3004	0
3005	0
3006	-3,269
3007	-1347
3008	-574,752
3009	0
3010	0
3011	0
3012	-1703,869
3013	-513,692
3014	0
3015	-73948,507
3016	0
3017	14,815
3018	-0,219
3019	0
3020	8000
3021	0
3022	0
3023	0
3024	-262,028
3025	0
3026	0
3027	0
3028	0
3029	0
3030	0
3031	0
3032	0
3033	0
3034	0
3035	-3575,373
3036	0
3037	0
3038	0
3039	-517,56
3040	0
3041	0
3042	0
3043	0
3044	-3367,268
3045	-499,833
3046	0
3047	-835,313
3048	0,613
3049	0
3050	-573,62
3051	-8284,412
3052	-11088,13
3053	0
3054	-1326,127
3055	0
3056	-1873,681
3057	0
3058	0
3059	-558,928
3060	0
3061	0
3062	0
3063	0
3064	20
3065	-2370,804
3066	0
3067	0
3068	0
3069	0
3070	-643,158
3071	0
3072	0
3073	-439,726
3074	-0,131
3075	0
3076	240,918
3077	-412,2
3078	0
3079	0
3080	-27
3081	0
3082	-359,642
3083	0
3084	0
3085	0
3086	0
3087	-507,548
3088	0
3089	0
3090	0
3091	0
3092	0
3093	-12619,074
3094	-14026,35
3095	11463,198
3096	-735,3
3097	0
3098	0
3099	-1769,17
3100	-788,136
3101	0
3102	-5796,51
3103	0
3104	-574,436
3105	0
3106	0
3107	80658,723
3108	0
3109	-17104,092
3110	-1575,48
3111	0
3112	0,72
3113	0
3114	0
3115	0
3116	0
3117	-420,52
3118	-625,32
3119	0
3120	1235,942
3121	0
3122	0
3123	0
3124	-27
3125	0
3126	0
3127	0
